,codes,airports,cities,countries,airports - cities
3276,PAFB,Ladd AAF Airfield,Fairbanks/Ft Wainwright,US,Ladd AAF Airfield - Fairbanks/Ft Wainwright
3277,PAFE,Kake Airport,Kake,US,Kake Airport - Kake
3278,PAFM,Ambler Airport,Ambler,US,Ambler Airport - Ambler
3279,PAGA,Edward G. Pitka Sr Airport,Galena,US,Edward G. Pitka Sr Airport - Galena
3280,PAGK,Gulkana Airport,Gulkana,US,Gulkana Airport - Gulkana
3281,PAGM,Gambell Airport,Gambell,US,Gambell Airport - Gambell
3282,PAGS,Gustavus Airport,Gustavus,US,Gustavus Airport - Gustavus
3283,PAHC,Holy Cross Airport,Holy Cross,US,Holy Cross Airport - Holy Cross
3284,PAHL,Huslia Airport,Huslia,US,Huslia Airport - Huslia
3285,PAHN,Haines Airport,Haines,US,Haines Airport - Haines
3286,PAHO,Homer Airport,Homer,US,Homer Airport - Homer
3287,PAHP,Hooper Bay Airport,Hooper Bay,US,Hooper Bay Airport - Hooper Bay
3288,PAII,Egegik Airport,Egegik,US,Egegik Airport - Egegik
3289,PAIK,Bob Baker Memorial Airport,Kiana,US,Bob Baker Memorial Airport - Kiana
3290,PAIL,Iliamna Airport,Iliamna,US,Iliamna Airport - Iliamna
3291,PAIM,Indian Mountain LRRS Airport,Utopia Creek,US,Indian Mountain LRRS Airport - Utopia Creek
3292,PAJN,Juneau International Airport,Juneau,US,Juneau International Airport - Juneau
3293,PAKN,King Salmon Airport,King Salmon,US,King Salmon Airport - King Salmon
3294,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,Anaktuvuk Pass Airport - Anaktuvuk Pass
3295,PAKT,Ketchikan International Airport,Ketchikan,US,Ketchikan International Airport - Ketchikan
3296,PAKW,Klawock Airport,Klawock,US,Klawock Airport - Klawock
3297,PALU,Cape Lisburne LRRS Airport,Cape Lisburne,US,Cape Lisburne LRRS Airport - Cape Lisburne
3298,PAMC,McGrath Airport,McGrath,US,McGrath Airport - McGrath
3299,PAMR,Merrill Field,Anchorage,US,Merrill Field - Anchorage
3300,PAMY,Mekoryuk Airport,Mekoryuk,US,Mekoryuk Airport - Mekoryuk
3301,PANC,Ted Stevens Anchorage International Airport,Anchorage,US,Ted Stevens Anchorage International Airport - Anchorage
3302,PANI,Aniak Airport,Aniak,US,Aniak Airport - Aniak
3303,PANN,Nenana Municipal Airport,Nenana,US,Nenana Municipal Airport - Nenana
3304,PANT,Annette Island Airport,Metlakatla,US,Annette Island Airport - Metlakatla
3305,PANV,Anvik Airport,Anvik,US,Anvik Airport - Anvik
3306,PAOM,Nome Airport,Nome,US,Nome Airport - Nome
3307,PAOR,Northway Airport,Northway,US,Northway Airport - Northway
3308,PAOT,Ralph Wien Memorial Airport,Kotzebue,US,Ralph Wien Memorial Airport - Kotzebue
3309,PAPB,St George Airport,St George,US,St George Airport - St George
3310,PAPC,Port Clarence Coast Guard Station,Port Clarence,US,Port Clarence Coast Guard Station - Port Clarence
3311,PAPG,Petersburg James A Johnson Airport,Petersburg,US,Petersburg James A Johnson Airport - Petersburg
3312,PAPH,Port Heiden Airport,Port Heiden,US,Port Heiden Airport - Port Heiden
3313,PAPM,Platinum Airport,Platinum,US,Platinum Airport - Platinum
3314,PAQT,Nuiqsut Airport,Nuiqsut,US,Nuiqsut Airport - Nuiqsut
3315,PARC,Arctic Village Airport,Arctic Village,US,Arctic Village Airport - Arctic Village
3316,PARY,Ruby Airport,Ruby,US,Ruby Airport - Ruby
3317,PASA,Savoonga Airport,Savoonga,US,Savoonga Airport - Savoonga
3318,PASC,Deadhorse Airport,Deadhorse,US,Deadhorse Airport - Deadhorse
3319,PASD,Sand Point Airport,Sand Point,US,Sand Point Airport - Sand Point
3320,PASH,Shishmaref Airport,Shishmaref,US,Shishmaref Airport - Shishmaref
3321,PASI,Sitka Rocky Gutierrez Airport,Sitka,US,Sitka Rocky Gutierrez Airport - Sitka
3322,PASM,St Mary's Airport,St Mary's,US,St Mary's Airport - St Mary's
3323,PASN,St Paul Island Airport,St Paul Island,US,St Paul Island Airport - St Paul Island
3324,PASV,Sparrevohn LRRS Airport,Sparrevohn,US,Sparrevohn LRRS Airport - Sparrevohn
3325,PASX,Soldotna Airport,Soldotna,US,Soldotna Airport - Soldotna
3326,PASY,Eareckson Air Station,Shemya,US,Eareckson Air Station - Shemya
3327,PATG,Togiak Airport,Togiak Village,US,Togiak Airport - Togiak Village
3328,PATK,Talkeetna Airport,Talkeetna,US,Talkeetna Airport - Talkeetna
3329,PATL,Tatalina LRRS Airport,Takotna,US,Tatalina LRRS Airport - Takotna
3330,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,Atqasuk Edward Burnell Sr Memorial Airport - Atqasuk
3331,PAVD,Valdez Pioneer Field,Valdez,US,Valdez Pioneer Field - Valdez
3332,PAVL,Kivalina Airport,Kivalina,US,Kivalina Airport - Kivalina
3333,PAWD,Seward Airport,Seward,US,Seward Airport - Seward
3334,PAWG,Wrangell Airport,Wrangell,US,Wrangell Airport - Wrangell
3335,PAWI,Wainwright Airport,Wainwright,US,Wainwright Airport - Wainwright
3336,PAWN,Noatak Airport,Noatak,US,Noatak Airport - Noatak
3337,PAWS,Wasilla Airport,Wasilla,US,Wasilla Airport - Wasilla
3338,PAYA,Yakutat Airport,Yakutat,US,Yakutat Airport - Yakutat
3339,PCIS,Canton Island Airport,Abariringa,KI,Canton Island Airport - Abariringa
3340,PFYU,Fort Yukon Airport,Fort Yukon,US,Fort Yukon Airport - Fort Yukon
3341,PG-OPU,Balimo Airport,Balimo,PG,Balimo Airport - Balimo
3342,PG-VMU,Baimuru Airport,Baimuru,PG,Baimuru Airport - Baimuru
3343,PGRO,Rota International Airport,Rota Island,MP,Rota International Airport - Rota Island
3344,PGSN,Saipan International Airport,"I Fadang, Saipan",MP,"Saipan International Airport - I Fadang, Saipan"
3345,PGUA,Andersen Air Force Base,"Yigo, Mariana Island",GU,"Andersen Air Force Base - Yigo, Mariana Island"
3346,PGUM,Antonio B. Won Pat International Airport,"Hagåtña, Guam International Airport",GU,"Antonio B. Won Pat International Airport - Hagåtña, Guam International Airport"
3347,PGWT,Tinian International Airport,Tinian Island,MP,Tinian International Airport - Tinian Island
3348,PH-0001,Laguindingan Airport,Cagayan de Oro,PH,Laguindingan Airport - Cagayan de Oro
3349,PH-0073,Cagayan North International Airport,Lal-lo,PH,Cagayan North International Airport - Lal-lo
3350,PH-0462,Central Mindanao Airport,M'lang,PH,Central Mindanao Airport - M'lang
3351,PHBK,Barking Sands Airport,Kekaha,US,Barking Sands Airport - Kekaha
3352,PHHN,Hana Airport,Hana,US,Hana Airport - Hana
3353,PHIK,Hickam Air Force Base,Honolulu,US,Hickam Air Force Base - Honolulu
3354,PHJH,Kapalua Airport,Lahaina,US,Kapalua Airport - Lahaina
3355,PHJR,Kalaeloa Airport,Kapolei,US,Kalaeloa Airport - Kapolei
3356,PHKO,Ellison Onizuka Kona International Airport at Keahole,Kailua-Kona,US,Ellison Onizuka Kona International Airport at Keahole - Kailua-Kona
3357,PHLI,Lihue Airport,Lihue,US,Lihue Airport - Lihue
3358,PHMK,Molokai Airport,Kaunakakai,US,Molokai Airport - Kaunakakai
3359,PHMU,Waimea Kohala Airport,Waimea (Kamuela),US,Waimea Kohala Airport - Waimea (Kamuela)
3360,PHNG,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe,US,Kaneohe Bay MCAS (Marion E. Carl Field) Airport - Kaneohe
3361,PHNL,Daniel K Inouye International Airport,Honolulu,US,Daniel K Inouye International Airport - Honolulu
3362,PHNY,Lanai Airport,Lanai City,US,Lanai Airport - Lanai City
3363,PHOG,Kahului Airport,Kahului,US,Kahului Airport - Kahului
3364,PHTO,Hilo International Airport,Hilo,US,Hilo International Airport - Hilo
3365,PKMJ,Marshall Islands International Airport,Majuro Atoll,MH,Marshall Islands International Airport - Majuro Atoll
3366,PKSA,Kaieteur International Airport,Kaieteur Falls,GY,Kaieteur International Airport - Kaieteur Falls
3367,PKWA,Bucholz Army Air Field,Kwajalein,MH,Bucholz Army Air Field - Kwajalein
3368,PLCH,Cassidy International Airport,Banana,KI,Cassidy International Airport - Banana
3369,PMDY,Henderson Field,Sand Island,UM,Henderson Field - Sand Island
3370,PPIZ,Point Lay LRRS Airport,Point Lay,US,Point Lay LRRS Airport - Point Lay
3371,PTKK,Chuuk International Airport,Weno Island,FM,Chuuk International Airport - Weno Island
3372,PTPN,Pohnpei International Airport,Pohnpei Island,FM,Pohnpei International Airport - Pohnpei Island
3373,PTRO,Babelthuap Airport,Babelthuap Island,PW,Babelthuap Airport - Babelthuap Island
3374,PTSA,Kosrae International Airport,Okat,FM,Kosrae International Airport - Okat
3375,PTYA,Yap International Airport,Yap Island,FM,Yap International Airport - Yap Island
3376,PWAK,Wake Island Airfield,Wake Island,UM,Wake Island Airfield - Wake Island
3377,RCAY,Gangshan Air Force Base,Kaohsiung (Gangshan),TW,Gangshan Air Force Base - Kaohsiung (Gangshan)
3378,RCBS,Kinmen Airport,Shang-I,TW,Kinmen Airport - Shang-I
3379,RCDC,Pingtung South Airport,Pingtung,TW,Pingtung South Airport - Pingtung
3380,RCDI,Longtan Air Base,Longtan,TW,Longtan Air Base - Longtan
3381,RCFG,Matsu Nangan Airport,Matsu (Nangan),TW,Matsu Nangan Airport - Matsu (Nangan)
3382,RCFN,Taitung Airport,Taitung City,TW,Taitung Airport - Taitung City
3383,RCKH,Kaohsiung International Airport,Kaohsiung (Xiaogang),TW,Kaohsiung International Airport - Kaohsiung (Xiaogang)
3384,RCKU,Chiayi Airport,Chiayi City,TW,Chiayi Airport - Chiayi City
3385,RCKW,Hengchun Airport,Hengchung,TW,Hengchun Airport - Hengchung
3386,RCLY,Lanyu Airport,Orchid Island,TW,Lanyu Airport - Orchid Island
3387,RCMQ,Taichung International Airport / Ching Chuang Kang Air Base,Taichung (Qingshui),TW,Taichung International Airport / Ching Chuang Kang Air Base - Taichung (Qingshui)
3388,RCMT,Matsu Beigan Airport,Matsu (Beigan),TW,Matsu Beigan Airport - Matsu (Beigan)
3389,RCNN,Tainan International Airport / Tainan Air Base,Tainan (Rende),TW,Tainan International Airport / Tainan Air Base - Tainan (Rende)
3390,RCPO,Hsinchu Air Base,Hsinchu City,TW,Hsinchu Air Base - Hsinchu City
3391,RCQC,Penghu Magong Airport,Huxi,TW,Penghu Magong Airport - Huxi
3392,RCQS,Chihhang Air Base,Taitung City,TW,Chihhang Air Base - Taitung City
3393,RCSQ,Pingtung North Airport,Pingtung,TW,Pingtung North Airport - Pingtung
3394,RCSS,Taipei Songshan Airport,Taipei City,TW,Taipei Songshan Airport - Taipei City
3395,RCTP,Taiwan Taoyuan International Airport,Taipei,TW,Taiwan Taoyuan International Airport - Taipei
3396,RCYU,Hualien Airport,Hualien City,TW,Hualien Airport - Hualien City
3397,RJAA,Narita International Airport,Tokyo,JP,Narita International Airport - Tokyo
3398,RJAF,Shinshu-Matsumoto Airport,Matsumoto,JP,Shinshu-Matsumoto Airport - Matsumoto
3399,RJAH,Ibaraki Airport / JASDF Hyakuri Air Base,Omitama,JP,Ibaraki Airport / JASDF Hyakuri Air Base - Omitama
3400,RJAW,Ioto (Iwo Jima) Air Base,Ogasawara,JP,Ioto (Iwo Jima) Air Base - Ogasawara
3401,RJBB,Kansai International Airport,Osaka,JP,Kansai International Airport - Osaka
3402,RJBD,Nanki Shirahama Airport,Shirahama,JP,Nanki Shirahama Airport - Shirahama
3403,RJBE,Kobe Airport,Kobe,JP,Kobe Airport - Kobe
3404,RJBT,Konotori Tajima Airport,Toyooka,JP,Konotori Tajima Airport - Toyooka
3405,RJCB,Tokachi-Obihiro Airport,Obihiro,JP,Tokachi-Obihiro Airport - Obihiro
3406,RJCC,New Chitose Airport,Sapporo,JP,New Chitose Airport - Sapporo
3407,RJCH,Hakodate Airport,Hakodate,JP,Hakodate Airport - Hakodate
3408,RJCJ,JASDF Chitose Air Base,Chitose,JP,JASDF Chitose Air Base - Chitose
3409,RJCK,Kushiro Airport,Kushiro,JP,Kushiro Airport - Kushiro
3410,RJCM,Memanbetsu Airport,Ōzora,JP,Memanbetsu Airport - Ōzora
3411,RJCN,Nakashibetsu Airport,Nakashibetsu,JP,Nakashibetsu Airport - Nakashibetsu
3412,RJCO,Sapporo Okadama Airport,Sapporo,JP,Sapporo Okadama Airport - Sapporo
3413,RJCS,JASDF Kenebetsu Airfield,Betsukai,JP,JASDF Kenebetsu Airfield - Betsukai
3414,RJCT,Tokachi Airport,Obihiro,JP,Tokachi Airport - Obihiro
3415,RJCW,Wakkanai Airport,Wakkanai,JP,Wakkanai Airport - Wakkanai
3416,RJDB,Iki Airport,Iki,JP,Iki Airport - Iki
3417,RJDC,Yamaguchi Ube Airport,Ube,JP,Yamaguchi Ube Airport - Ube
3418,RJDT,Tsushima Airport,Tsushima,JP,Tsushima Airport - Tsushima
3419,RJEB,Monbetsu Airport,Monbetsu,JP,Monbetsu Airport - Monbetsu
3420,RJEC,Asahikawa Airport,Asahikawa,JP,Asahikawa Airport - Asahikawa
3421,RJEO,Okushiri Airport,Okushiri Island,JP,Okushiri Airport - Okushiri Island
3422,RJER,Rishiri Airport,Rishiri,JP,Rishiri Airport - Rishiri
3423,RJFA,JASDF Ashiya Air Base,Ashiya,JP,JASDF Ashiya Air Base - Ashiya
3424,RJFC,Yakushima Airport,Yakushima,JP,Yakushima Airport - Yakushima
3425,RJFE,Fukue Airport,Goto,JP,Fukue Airport - Goto
3426,RJFF,Fukuoka Airport,Fukuoka,JP,Fukuoka Airport - Fukuoka
3427,RJFG,New Tanegashima Airport,Tanegashima,JP,New Tanegashima Airport - Tanegashima
3428,RJFK,Kagoshima Airport,Kagoshima,JP,Kagoshima Airport - Kagoshima
3429,RJFM,Miyazaki Airport,Miyazaki,JP,Miyazaki Airport - Miyazaki
3430,RJFO,Oita Airport,Oita,JP,Oita Airport - Oita
3431,RJFR,Kitakyushu Airport,Kitakyushu,JP,Kitakyushu Airport - Kitakyushu
3432,RJFS,Saga Airport,Saga,JP,Saga Airport - Saga
3433,RJFT,Kumamoto Airport,Kumamoto,JP,Kumamoto Airport - Kumamoto
3434,RJFU,Nagasaki Airport,Nagasaki,JP,Nagasaki Airport - Nagasaki
3435,RJFY,JMSDF Kanoya Air Base,Kanoya,JP,JMSDF Kanoya Air Base - Kanoya
3436,RJFZ,JASDF Tsuiki Air Base,Tsuiki,JP,JASDF Tsuiki Air Base - Tsuiki
3437,RJGG,Chubu Centrair International Airport,Tokoname,JP,Chubu Centrair International Airport - Tokoname
3438,RJKA,Amami Airport,Amami,JP,Amami Airport - Amami
3439,RJKB,Okinoerabu Airport,Wadomari,JP,Okinoerabu Airport - Wadomari
3440,RJKI,Kikai Airport,Kikai,JP,Kikai Airport - Kikai
3441,RJKN,Tokunoshima Airport,Amagi,JP,Tokunoshima Airport - Amagi
3442,RJNA,Nagoya Airport / JASDF Komaki Air Base,Nagoya,JP,Nagoya Airport / JASDF Komaki Air Base - Nagoya
3443,RJNF,Fukui Airport,,JP,Fukui Airport - nan
3444,RJNG,Gifu Airport,Gifu,JP,Gifu Airport - Gifu
3445,RJNH,JASDF Hamamatsu Air Base,Hamamatsu,JP,JASDF Hamamatsu Air Base - Hamamatsu
3446,RJNK,Komatsu Airport / JASDF Komatsu Air Base,Kanazawa,JP,Komatsu Airport / JASDF Komatsu Air Base - Kanazawa
3447,RJNO,Oki Global Geopark Airport,Okinoshima,JP,Oki Global Geopark Airport - Okinoshima
3448,rjns,Mount Fuji Shizuoka Airport,Makinohara / Shimada,JP,Mount Fuji Shizuoka Airport - Makinohara / Shimada
3449,RJNT,Toyama Airport,Toyama,JP,Toyama Airport - Toyama
3450,RJNW,Noto Satoyama Airport,Wajima,JP,Noto Satoyama Airport - Wajima
3451,RJNY,JASDF Shizuhama Air Base,Yaizu,JP,JASDF Shizuhama Air Base - Yaizu
3452,RJOA,Hiroshima Airport,Hiroshima,JP,Hiroshima Airport - Hiroshima
3453,RJOB,Okayama Momotaro Airport,Okayama,JP,Okayama Momotaro Airport - Okayama
3454,RJOC,Izumo Enmusubi Airport,Izumo,JP,Izumo Enmusubi Airport - Izumo
3455,RJOF,JASDF Hofu Airfield,Hofu,JP,JASDF Hofu Airfield - Hofu
3456,RJOH,Yonago Kitaro Airport / JASDF Miho Air Base,Yonago,JP,Yonago Kitaro Airport / JASDF Miho Air Base - Yonago
3457,RJOI,Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni,Iwakuni,JP,Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni - Iwakuni
3458,RJOK,Kochi Ryoma Airport,Nankoku,JP,Kochi Ryoma Airport - Nankoku
3459,RJOM,Matsuyama Airport,Matsuyama,JP,Matsuyama Airport - Matsuyama
3460,RJOO,Osaka International Airport,Osaka,JP,Osaka International Airport - Osaka
3461,RJOR,Tottori Sand Dunes Conan Airport,Tottori,JP,Tottori Sand Dunes Conan Airport - Tottori
3462,RJOS,Tokushima Awaodori Airport / JMSDF Tokushima Air Base,Tokushima,JP,Tokushima Awaodori Airport / JMSDF Tokushima Air Base - Tokushima
3463,RJOT,Takamatsu Airport,Takamatsu,JP,Takamatsu Airport - Takamatsu
3464,RJOW,Iwami Airport,Masuda,JP,Iwami Airport - Masuda
3465,RJOY,Yao Airport,Yao,JP,Yao Airport - Yao
3466,RJSA,Aomori Airport,Aomori,JP,Aomori Airport - Aomori
3467,RJSC,Yamagata Airport,Higashine,JP,Yamagata Airport - Higashine
3468,RJSD,Sado Airport,Sado,JP,Sado Airport - Sado
3469,RJSF,Fukushima Airport,Sukagawa,JP,Fukushima Airport - Sukagawa
3470,RJSH,JMSDF Hachinohe Air Base / Hachinohe Airport,Hachinohe,JP,JMSDF Hachinohe Air Base / Hachinohe Airport - Hachinohe
3471,RJSI,Morioka Hanamaki Airport,Hanamaki,JP,Morioka Hanamaki Airport - Hanamaki
3472,RJSK,Akita Airport,Akita,JP,Akita Airport - Akita
3473,RJSM,Misawa Air Base / Misawa Airport,Misawa,JP,Misawa Air Base / Misawa Airport - Misawa
3474,RJSN,Niigata Airport,Niigata,JP,Niigata Airport - Niigata
3475,RJSR,Odate Noshiro Airport,Kitaakita,JP,Odate Noshiro Airport - Kitaakita
3476,RJSS,Sendai Airport,Natori,JP,Sendai Airport - Natori
3477,RJST,JASDF Matsushima Air Base,Ishinomaki,JP,JASDF Matsushima Air Base - Ishinomaki
3478,RJSY,Shonai Airport,Shonai,JP,Shonai Airport - Shonai
3479,RJTA,JMSDF Atsugi Air Base / Naval Air Facility Atsugi,Ayase / Yamato,JP,JMSDF Atsugi Air Base / Naval Air Facility Atsugi - Ayase / Yamato
3480,RJTE,JMSDF Tateyama Air Base,Tateyama,JP,JMSDF Tateyama Air Base - Tateyama
3481,RJTF,Chofu Airport,Chofu,JP,Chofu Airport - Chofu
3482,RJTH,Hachijojima Airport,Hachijojima,JP,Hachijojima Airport - Hachijojima
3483,RJTJ,Iruma Air Base,Sayama,JP,Iruma Air Base - Sayama
3484,RJTK,JGSDF Kisarazu Airfield,Kisarazu,JP,JGSDF Kisarazu Airfield - Kisarazu
3485,RJTL,JMSDF Shimofusa Air Base,Matsudo,JP,JMSDF Shimofusa Air Base - Matsudo
3486,RJTO,Oshima Airport,Izu Oshima,JP,Oshima Airport - Izu Oshima
3487,RJTQ,Miyakejima Airport,Miyakejima,JP,Miyakejima Airport - Miyakejima
3488,RJTT,Tokyo Haneda International Airport,Tokyo,JP,Tokyo Haneda International Airport - Tokyo
3489,RJTU,Utsunomiya Airport,Utsunomiya,JP,Utsunomiya Airport - Utsunomiya
3490,RJTY,Yokota Air Base,Fussa,JP,Yokota Air Base - Fussa
3491,RKJB,Muan International Airport,Piseo-ri (Muan),KR,Muan International Airport - Piseo-ri (Muan)
3492,RKJJ,Gwangju Airport,Gwangju,KR,Gwangju Airport - Gwangju
3493,RKJK,Kunsan Air Base,Kunsan,KR,Kunsan Air Base - Kunsan
3494,RKJY,Yeosu Airport,Yeosu,KR,Yeosu Airport - Yeosu
3495,RKNN,Gangneung Airport (K-18),Gangneung,KR,Gangneung Airport (K-18) - Gangneung
3496,RKNW,Wonju Airport / Hoengseong Air Base (K-38/K-46),Wonju,KR,Wonju Airport / Hoengseong Air Base (K-38/K-46) - Wonju
3497,RKNY,Yangyang International Airport,Gonghang-ro,KR,Yangyang International Airport - Gonghang-ro
3498,RKPC,Jeju International Airport,Jeju City,KR,Jeju International Airport - Jeju City
3499,RKPD,Jeongseok Airport,Jeju Island,KR,Jeongseok Airport - Jeju Island
3500,RKPK,Gimhae International Airport,Busan,KR,Gimhae International Airport - Busan
3501,RKPS,Sacheon Air Base/Airport,Sacheon,KR,Sacheon Air Base/Airport - Sacheon
3502,RKPU,Ulsan Airport,Ulsan,KR,Ulsan Airport - Ulsan
3503,RKSG,Camp Humphreys (A-511) Airfield,Pyeongtaek,KR,Camp Humphreys (A-511) Airfield - Pyeongtaek
3504,RKSI,Incheon International Airport,Seoul,KR,Incheon International Airport - Seoul
3505,RKSM,Seoul Air Base (K-16),Seongnam,KR,Seoul Air Base (K-16) - Seongnam
3506,RKSO,Osan Air Base,,KR,Osan Air Base - nan
3507,RKSS,Gimpo International Airport,Seoul,KR,Gimpo International Airport - Seoul
3508,RKSW,Suwon Airport,Suwon,KR,Suwon Airport - Suwon
3509,RKTH,Pohang Airport (G-815/K-3),Pohang,KR,Pohang Airport (G-815/K-3) - Pohang
3510,RKTI,Jungwon Air Base/Chungju Airport,Gimseang-ro,KR,Jungwon Air Base/Chungju Airport - Gimseang-ro
3511,RKTN,Daegu Airport,Daegu,KR,Daegu Airport - Daegu
3512,RKTU,Cheongju International Airport/Cheongju Air Base (K-59/G-513),Cheongju,KR,Cheongju International Airport/Cheongju Air Base (K-59/G-513) - Cheongju
3513,RKTY,Yecheon Airbase,Yecheon-ri,KR,Yecheon Airbase - Yecheon-ri
3514,RMU,Región de Murcia International Airport,Corvera,ES,Región de Murcia International Airport - Corvera
3515,ROAH,Naha Airport / JASDF Naha Air Base,Naha,JP,Naha Airport / JASDF Naha Air Base - Naha
3516,RODN,Kadena Air Base,,JP,Kadena Air Base - nan
3517,ROKJ,Kumejima Airport,Kumejima,JP,Kumejima Airport - Kumejima
3518,ROMD,Minamidaito Airport,Minamidaito,JP,Minamidaito Airport - Minamidaito
3519,ROMY,Miyako Airport,Miyako City,JP,Miyako Airport - Miyako City
3520,RORE,Iejima Airport,Ie,JP,Iejima Airport - Ie
3521,RORK,Kitadaito Airport,Kitadaitōjima,JP,Kitadaito Airport - Kitadaitōjima
3522,RORS,Miyako Shimojishima Airport,Miyakojima,JP,Miyako Shimojishima Airport - Miyakojima
3523,RORT,Tarama Airport,Tarama,JP,Tarama Airport - Tarama
3524,RORY,Yoron Airport,Yoron,JP,Yoron Airport - Yoron
3525,ROTM,Futenma Marine Corps Air Station,,JP,Futenma Marine Corps Air Station - nan
3526,ROYN,Yonaguni Airport,Yonaguni,JP,Yonaguni Airport - Yonaguni
3527,RPLB,Subic Bay International Airport / Naval Air Station Cubi Point,Olongapo,PH,Subic Bay International Airport / Naval Air Station Cubi Point - Olongapo
3528,RPLC,Diosdado Macapagal International Airport,Mabalacat,PH,Diosdado Macapagal International Airport - Mabalacat
3529,RPLI,Laoag International Airport,Laoag City,PH,Laoag International Airport - Laoag City
3530,RPLL,Ninoy Aquino International Airport,Manila,PH,Ninoy Aquino International Airport - Manila
3531,RPLP,Legazpi City International Airport,Legazpi City,PH,Legazpi City International Airport - Legazpi City
3532,RPLS,Danilo Atienza Air Base,Cavite,PH,Danilo Atienza Air Base - Cavite
3533,RPLT,Itbayat Airport,Itbayat,PH,Itbayat Airport - Itbayat
3534,RPLU,Lubang Airport,,PH,Lubang Airport - nan
3535,RPMA,Allah Valley Airport,Surallah,PH,Allah Valley Airport - Surallah
3536,RPMB,Rajah Buayan Air Base,General Santos City,PH,Rajah Buayan Air Base - General Santos City
